productId,productName,productPrice,productSite,productUrl
302007-11P,ZYN Spearmint Mini Dry,"(34,54 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/zyn-spearmint-mini-dry-30-pack,,
201278-10,XR Göteborgs Rapé slim white Portionssnus,"(28,66 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/goteborgs-rape-xrange-white-portionssnus,,
301158-30P,LD Original Stark Portionssnus,"(19,97 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/ld-original-stark-portionssnus,,
302446-11P,LYFT Tokyo Zing Strong All White Portion,"(34,54 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/lyft-tokyo-zing-strong-all-white-portion,,
302229-11P,ONE Blå White Portion,"(26,35 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/one-bla-white-portion,,
302547-10P,Göteborgs Rapé West Coast IPA White Portion,"(43,66 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/goteborgs-rape-west-coast-ipa-white-portion,,
302557-5P,Swave Cuba Libre Slim Strong All White Portion,"(31,98 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/swave-cuba-libre-slim-strong-all-white-portion,,
302447-10P,LYFT Morning Bloom Limited Edition All White Portion,"(36,50 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/lyft-morning-bloom-limited-edition-all-white-portion,,
302578-15P,Loop Jalapeno Lime Slim Extra Strong All White Portion,"(33,33 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-slim-extra-strong-all-white-portion,,
302484-5P,Klint Liquorice Slim Strong All White Portion,"(19,80 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/klint-liquorice-slim-strong-all-white-portion,,
302544-15P,Loop Mango Tango Slim Strong All White Portion,"(33,33 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/loop-mango-tango-slim-strong-all-white-portion,,
302546-11P,ONE Röd White Portion,"(26,35 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/one-rod-strong-white-portion,,
302552-5P,VOLT Deep Freeze Slim Extra Strong All White Portion,"(27,99 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/volt-deep-freeze-slim-extra-strong-all-white-portion,,
302548-5P,VOLT Java Shake Slim All White Portion,"(27,99 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/volt-java-shake-slim-all-white-portion,,
302448-10P,LYFT Midsummer Night Limited Edition Strong All White Portion,"(36,50 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/lyft-midsummer-night-limited-edition-strong-all-white-portion,,
302556-5P,VOLT Java Shake Slim Extra Strong All White Portion,"(27,99 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/volt-java-shake-slim-extra-strong-all-white-portion,,
302553-5P,VOLT Dark Frost Slim Extra Strong All White Portion,"(27,99 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/volt-dark-frost-slim-extra-strong-all-white-portion,,
productId,productName,productPrice,productSite,productUrl,unitPrice,units
302551-5P,VOLT Frosted Apple Slim Strong All White Portion,"(27,99 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/volt-frosted-apple-slim-strong-all-white-portion,,
201321,Lundgrens Skåne Vit Portionssnus,"(29,13 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/lundgrens-skane-vit-portionssnus,,
201278-10,XR Göteborgs Rapé slim white Portionssnus,"(28,66 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/goteborgs-rape-xrange-white-portionssnus,,
302484-5P,Klint Liquorice Slim Strong All White Portion,"(19,80 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/klint-liquorice-slim-strong-all-white-portion,,
302229-11P,ONE Blå White Portion,"(26,35 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/one-bla-white-portion,,
302218-15P,Loop Jalapeno Lime Strong All White,"(33,33 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-strong-all-white,,
